id,couple_id,season,premier_date,location,name,age,age_difference,gender,job,job_type,decision,split_decision,status,DrPepperSchwartz,DrLoganLevkoff,DrJosephCilona,ChaplainGregEpstein,PastorCalvinRoberson,RachelDeAlto,DrJessicaGriffin,DrVivianaColes,DeVonFranklin,DrPiaHolec
32,16,6,01/02/18,"Boston, Massachusetts",Jephte Pierre,26,3,M,2nd grade school teacher,Education,Yes,FALSE,Married,1,0,0,0,1,0,1,0,0,0
33,17,6,01/02/18,"Boston, Massachusetts",Molly Duff,25,3,F,Commercial insurance adjuster,Business/Finance,No,FALSE,Divorced,1,0,0,0,1,0,1,0,0,0
34,17,6,01/02/18,"Boston, Massachusetts",Jonathan Francetic,28,3,M,Financial associate,Business/Finance,No,FALSE,Divorced,1,0,0,0,1,0,1,0,0,0
35,18,6,01/02/18,"Boston, Massachusetts",Jaclyn Schwartzberg,29,0,F,Technical sales representative,Sales/Marketing,Yes,FALSE,Divorced,1,0,0,0,1,0,1,0,0,0
36,18,6,01/02/18,"Boston, Massachusetts",Ryan Buckley,29,0,M,Firefighter,Other,Yes,FALSE,Divorced,1,0,0,0,1,0,1,0,0,0
37,19,7,07/10/18,"Dallas, Texas",Mia Bally,29,0,F,International recruiter of an airline,Sales/Marketing,Yes,FALSE,Divorced,1,0,0,0,1,0,1,0,0,0
38,19,7,07/10/18,"Dallas, Texas",Tristan Thompson,29,0,M,Tutoring club owner,Education,Yes,FALSE,Divorced,1,0,0,0,1,0,1,0,0,0
39,20,7,07/10/18,"Dallas, Texas",Danielle Bergman-Dodd,30,3,F,Software saleswoman,Sales/Marketing,Yes,FALSE,Married,1,0,0,0,1,0,1,0,0,0
40,20,7,07/10/18,"Dallas, Texas",Bobby Dodd,27,3,M,Construction project manager,Tech/Science/Engineering,Yes,FALSE,Married,1,0,0,0,1,0,1,0,0,0
41,21,7,07/10/18,"Dallas, Texas",Amber Martorana,36,1,F,Senior title analyst,Business/Finance,Yes,FALSE,Divorced,1,0,0,0,1,0,1,0,0,0
